,sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossings
52,XRPUSDT,GMTUSDT,0.0,-5.37,-3.37,0.4,13
1052,GALUSDT,XRPUSDT,0.03,-3.55,-3.37,10.08,13
4,BTCUSDT,AGLDUSDT,0.01,-3.93,-3.37,50810.81,13
338,GALAUSDT,LITUSDT,0.0,-4.23,-3.37,0.06,13
552,XMRUSDT,YFIUSDT,0.01,-3.84,-3.37,0.01,13
707,ZRXUSDT,BNXUSDT,0.01,-4.03,-3.37,0.0,13
17,ETHUSDT,OMGUSDT,0.05,-3.37,-3.37,739.06,13
1167,USDCUSDT,C98USDT,0.0,-5.8,-3.37,1.88,13
537,XMRUSDT,XLMUSDT,0.02,-3.69,-3.37,1348.99,13
955,FLMUSDT,FILUSDT,0.0,-4.15,-3.37,0.03,13
623,SUNUSDT,AAVEUSDT,0.0,-4.96,-3.37,0.0,13
49,XRPUSDT,HNTUSDT,0.0,-4.73,-3.37,0.04,13
1142,USDCUSDT,MANAUSDT,0.0,-5.75,-3.37,0.99,13
1176,USDCUSDT,ILVUSDT,0.0,-8.04,-3.37,0.01,13
532,XMRUSDT,MATICUSDT,0.02,-3.6,-3.37,173.55,13
992,FLMUSDT,EGLDUSDT,0.0,-4.21,-3.37,0.0,12
450,LITUSDT,FTMUSDT,0.03,-3.56,-3.37,2.87,12
964,FLMUSDT,MANAUSDT,0.0,-4.32,-3.37,0.22,12
574,IOTAUSDT,THETAUSDT,0.05,-3.38,-3.37,0.23,12
1209,USDCUSDT,REQUSDT,0.0,-7.48,-3.37,7.44,12
333,GALAUSDT,SFPUSDT,0.0,-4.63,-3.37,0.14,12
329,GALAUSDT,SXPUSDT,0.0,-4.38,-3.37,0.14,12
1104,UNFIUSDT,OMGUSDT,0.0,-5.35,-3.37,3.8,12
281,GALAUSDT,MANAUSDT,0.01,-4.01,-3.37,0.06,12
325,GALAUSDT,ANKRUSDT,0.0,-4.19,-3.37,1.88,12
227,IOSTUSDT,ZENUSDT,0.02,-3.62,-3.37,0.0,12
636,1000BTTUSDT,LINKUSDT,0.0,-4.27,-3.37,0.0,12
633,1000BTTUSDT,BCHUSDT,0.0,-4.47,-3.37,0.0,12
953,FLMUSDT,ETCUSDT,0.0,-4.87,-3.37,0.01,12
199,SHIB1000USDT,LINKUSDT,0.0,-6.03,-3.37,0.0,12
8,BTCUSDT,RAYUSDT,0.04,-3.38,-3.37,27537.2,12
1119,USDCUSDT,BCHUSDT,0.0,-7.67,-3.37,0.01,12
542,XMRUSDT,AXSUSDT,0.02,-3.67,-3.37,8.81,12
1065,GALUSDT,XLMUSDT,0.02,-3.62,-3.37,32.38,12
1038,FLMUSDT,RVNUSDT,0.0,-4.44,-3.37,5.93,12
575,IOTAUSDT,NEARUSDT,0.04,-3.45,-3.37,0.07,12
1001,FLMUSDT,IOTXUSDT,0.0,-4.57,-3.37,6.43,12
866,DARUSDT,OMGUSDT,0.02,-3.73,-3.37,0.15,12
728,BAKEUSDT,SFPUSDT,0.04,-3.41,-3.37,0.84,12
1047,FLMUSDT,QNTUSDT,0.0,-4.64,-3.37,0.0,12
973,FLMUSDT,BSVUSDT,0.0,-4.66,-3.37,0.0,12
720,BAKEUSDT,NEARUSDT,0.04,-3.44,-3.37,0.08,12
286,GALAUSDT,ENJUSDT,0.0,-4.33,-3.37,0.09,12
298,GALAUSDT,IOSTUSDT,0.0,-4.26,-3.37,3.98,12
319,GALAUSDT,IOTXUSDT,0.0,-4.51,-3.37,1.71,12
1013,FLMUSDT,ZECUSDT,0.0,-4.65,-3.37,0.0,12
568,PEOPLEUSDT,LTCUSDT,0.04,-3.43,-3.37,0.0,12
386,COTIUSDT,XTZUSDT,0.03,-3.48,-3.37,0.06,12
1192,USDCUSDT,YGGUSDT,0.0,-8.1,-3.37,1.2,12
1075,UNFIUSDT,XRPUSDT,0.0,-4.2,-3.37,22.64,12
1081,UNFIUSDT,XEMUSDT,0.0,-4.75,-3.37,169.33,12
1143,USDCUSDT,KSMUSDT,0.0,-7.45,-3.37,0.02,12
404,COTIUSDT,COMPUSDT,0.01,-3.96,-3.37,0.0,12
1100,UNFIUSDT,FTMUSDT,0.03,-3.54,-3.37,24.47,12
1169,USDCUSDT,MKRUSDT,0.0,-7.65,-3.37,0.0,12
985,FLMUSDT,CELRUSDT,0.0,-4.27,-3.37,10.5,12
408,COTIUSDT,KSMUSDT,0.01,-4.08,-3.37,0.0,12
518,XMRUSDT,ETHUSDT,0.03,-3.55,-3.37,0.1,12
375,CELRUSDT,NEARUSDT,0.01,-3.79,-3.37,0.0,12
371,GALAUSDT,ZILUSDT,0.0,-4.47,-3.37,1.37,12
276,GALAUSDT,VETUSDT,0.0,-4.65,-3.37,2.05,12
1131,USDCUSDT,ETCUSDT,0.0,-5.87,-3.37,0.03,12
951,FLMUSDT,DOGEUSDT,0.0,-4.74,-3.37,3.25,12
952,FLMUSDT,MATICUSDT,0.0,-4.82,-3.37,0.24,12
902,DARUSDT,ZENUSDT,0.0,-4.16,-3.37,0.02,12
757,LINAUSDT,ENSUSDT,0.03,-3.49,-3.37,0.0,12
753,LINAUSDT,BITUSDT,0.04,-3.45,-3.37,0.01,12
434,STORJUSDT,XRPUSDT,0.02,-3.63,-3.37,1.81,12
370,GALAUSDT,QNTUSDT,0.0,-4.53,-3.37,0.0,12
1132,USDCUSDT,BNBUSDT,0.0,-6.06,-3.37,0.0,12
466,SCUSDT,BSVUSDT,0.01,-4.04,-3.37,0.0,11
556,XMRUSDT,ALGOUSDT,0.02,-3.65,-3.37,467.86,11
557,XMRUSDT,DYDXUSDT,0.01,-3.9,-3.37,67.06,11
493,REQUSDT,CHZUSDT,0.02,-3.76,-3.37,0.97,11
41,XRPUSDT,CHZUSDT,0.02,-3.74,-3.37,2.73,11
526,XMRUSDT,DOTUSDT,0.02,-3.71,-3.37,19.03,11
545,XMRUSDT,KSMUSDT,0.02,-3.67,-3.37,2.5,11
88,XEMUSDT,SKLUSDT,0.05,-3.38,-3.37,0.82,11
1088,UNFIUSDT,VETUSDT,0.0,-4.29,-3.37,295.72,11
914,DARUSDT,1INCHUSDT,0.02,-3.73,-3.37,0.43,11
614,SUNUSDT,BCHUSDT,0.0,-4.14,-3.37,0.0,11
553,XMRUSDT,BSVUSDT,0.02,-3.62,-3.37,2.57,11
144,FILUSDT,1000BTTUSDT,0.03,-3.49,-3.37,8709.11,11
522,XMRUSDT,LTCUSDT,0.02,-3.7,-3.37,2.65,11
1102,UNFIUSDT,NEARUSDT,0.03,-3.54,-3.37,1.89,11
549,XMRUSDT,ENJUSDT,0.0,-4.12,-3.37,245.13,11
465,SCUSDT,GRTUSDT,0.04,-3.43,-3.37,0.04,11
1108,LUNA2USDT,MATICUSDT,0.02,-3.7,-3.37,2.29,11
1153,USDCUSDT,FTMUSDT,0.0,-5.93,-3.37,2.85,11
1165,USDCUSDT,HBARUSDT,0.0,-7.66,-3.37,13.39,11
812,BALUSDT,HNTUSDT,0.01,-3.89,-3.37,0.69,11
427,WOOUSDT,AVAXUSDT,0.05,-3.37,-3.37,0.01,11
229,IOSTUSDT,BICOUSDT,0.01,-3.77,-3.37,0.02,11
1051,GALUSDT,EOSUSDT,0.01,-3.92,-3.37,3.05,11
1130,USDCUSDT,MATICUSDT,0.0,-7.92,-3.37,1.09,11
665,CTSIUSDT,ALGOUSDT,0.02,-3.74,-3.37,0.5,11
1145,USDCUSDT,CHZUSDT,0.0,-8.19,-3.37,7.2,11
1201,USDCUSDT,CVCUSDT,0.0,-7.94,-3.37,6.32,11
387,COTIUSDT,LINKUSDT,0.01,-3.89,-3.37,0.01,11
322,GALAUSDT,STORJUSDT,0.0,-4.49,-3.37,0.09,11
405,COTIUSDT,AXSUSDT,0.01,-4.05,-3.37,0.01,11
300,GALAUSDT,FTTUSDT,0.0,-4.74,-3.37,0.0,11
1181,USDCUSDT,IOTXUSDT,0.0,-5.85,-3.37,28.72,11
290,GALAUSDT,BSVUSDT,0.0,-5.0,-3.37,0.0,11
289,GALAUSDT,YFIUSDT,0.0,-4.31,-3.37,0.0,11
270,GALAUSDT,ETCUSDT,0.0,-4.55,-3.37,0.0,11
390,COTIUSDT,UNIUSDT,0.01,-3.81,-3.37,0.01,11
1164,USDCUSDT,CELRUSDT,0.0,-5.77,-3.37,46.86,11
419,COTIUSDT,ALGOUSDT,0.02,-3.63,-3.37,0.33,11
746,BAKEUSDT,BNXUSDT,0.01,-3.86,-3.37,0.0,11
361,GALAUSDT,KNCUSDT,0.0,-4.88,-3.37,0.04,11
715,BAKEUSDT,BTCUSDT,0.03,-3.59,-3.37,0.0,11
861,DARUSDT,FTMUSDT,0.02,-3.61,-3.37,0.97,11
184,CRVUSDT,1INCHUSDT,0.05,-3.38,-3.37,1.74,11
340,GALAUSDT,RNDRUSDT,0.0,-4.85,-3.37,0.09,11
1121,USDCUSDT,XTZUSDT,0.0,-5.76,-3.37,0.56,11
452,CVCUSDT,BTCUSDT,0.03,-3.54,-3.37,0.0,11
336,GALAUSDT,SKLUSDT,0.0,-4.22,-3.37,0.97,11
740,BAKEUSDT,RSS3USDT,0.01,-4.05,-3.37,2.48,11
963,FLMUSDT,SANDUSDT,0.0,-4.73,-3.37,0.17,10
1140,USDCUSDT,AXSUSDT,0.0,-7.5,-3.37,0.06,10
1084,UNFIUSDT,DOGEUSDT,0.01,-4.05,-3.37,124.94,10
1039,FLMUSDT,KNCUSDT,0.0,-4.44,-3.37,0.14,10
931,DARUSDT,LOOKSUSDT,0.01,-3.93,-3.37,0.89,10
320,GALAUSDT,CHRUSDT,0.0,-4.79,-3.37,0.28,10
342,GALAUSDT,RSRUSDT,0.0,-4.4,-3.37,8.63,10
293,GALAUSDT,ALGOUSDT,0.0,-4.38,-3.37,0.18,10
295,GALAUSDT,NEARUSDT,0.0,-4.59,-3.37,0.01,10
1173,USDCUSDT,RENUSDT,0.0,-5.78,-3.37,6.84,10
5,BTCUSDT,QTUMUSDT,0.01,-3.99,-3.37,5596.95,10
977,FLMUSDT,DYDXUSDT,0.0,-4.61,-3.37,0.09,10
301,GALAUSDT,BITUSDT,0.0,-4.69,-3.37,0.08,10
772,FXSUSDT,DOTUSDT,0.01,-3.87,-3.37,0.87,10
942,FLMUSDT,LTCUSDT,0.0,-4.72,-3.37,0.0,10
1033,FLMUSDT,REEFUSDT,0.0,-4.6,-3.37,52.42,10
305,GALAUSDT,C98USDT,0.0,-4.53,-3.37,0.11,10
1048,FLMUSDT,ZILUSDT,0.0,-4.64,-3.37,5.16,10
1076,UNFIUSDT,LTCUSDT,0.01,-4.09,-3.37,0.14,10
1079,UNFIUSDT,DOTUSDT,0.01,-3.95,-3.37,1.03,10
1144,USDCUSDT,AVAXUSDT,0.0,-5.73,-3.37,0.04,10
358,GALAUSDT,CELOUSDT,0.01,-3.92,-3.37,0.06,10
965,FLMUSDT,KSMUSDT,0.0,-4.59,-3.37,0.0,10
318,GALAUSDT,ENSUSDT,0.0,-4.61,-3.37,0.0,10
1182,USDCUSDT,CHRUSDT,0.0,-7.53,-3.37,4.73,10
1116,USDCUSDT,ETHUSDT,0.0,-5.86,-3.37,0.0,10
278,GALAUSDT,COMPUSDT,0.0,-4.38,-3.37,0.0,10
507,ANTUSDT,LINKUSDT,0.03,-3.55,-3.37,0.26,10
901,DARUSDT,AUDIOUSDT,0.01,-3.93,-3.37,0.96,10
896,DARUSDT,SXPUSDT,0.01,-4.04,-3.37,0.77,10
990,FLMUSDT,MKRUSDT,0.03,-3.57,-3.37,0.0,10
1103,UNFIUSDT,SRMUSDT,0.01,-3.97,-3.37,8.67,10
216,IOSTUSDT,XLMUSDT,0.04,-3.45,-3.37,0.13,10
435,STORJUSDT,LINKUSDT,0.01,-4.06,-3.37,0.09,10
136,ETCUSDT,LUNA2USDT,0.02,-3.69,-3.37,17.66,10
888,DARUSDT,BATUSDT,0.01,-3.85,-3.37,0.82,10
851,DARUSDT,KSMUSDT,0.02,-3.76,-3.37,0.01,10
852,DARUSDT,AVAXUSDT,0.01,-4.08,-3.37,0.01,10
1002,FLMUSDT,CHRUSDT,0.0,-4.59,-3.37,1.06,10
194,SHIB1000USDT,ETHUSDT,0.0,-6.17,-3.37,0.0,10
189,CRVUSDT,LUNA2USDT,0.04,-3.4,-3.37,0.65,10
863,DARUSDT,DYDXUSDT,0.02,-3.6,-3.37,0.14,10
178,SANDUSDT,LOOKSUSDT,0.01,-3.79,-3.37,3.46,10
502,REQUSDT,OMGUSDT,0.04,-3.44,-3.37,0.06,10
899,DARUSDT,IMXUSDT,0.03,-3.53,-3.37,0.3,10
984,FLMUSDT,BITUSDT,0.0,-4.4,-3.37,0.31,10
1197,USDCUSDT,ZENUSDT,0.0,-5.94,-3.37,0.06,10
1000,FLMUSDT,ENSUSDT,0.0,-4.57,-3.37,0.01,10
983,FLMUSDT,FTTUSDT,0.0,-4.7,-3.37,0.01,10
267,GALAUSDT,AAVEUSDT,0.0,-4.37,-3.37,0.0,10
1099,UNFIUSDT,YFIUSDT,0.0,-5.39,-3.37,0.0,10
403,COTIUSDT,THETAUSDT,0.01,-3.81,-3.37,0.08,10
407,COTIUSDT,MANAUSDT,0.02,-3.63,-3.37,0.11,10
1017,FLMUSDT,ZENUSDT,0.0,-4.62,-3.37,0.01,10
1101,UNFIUSDT,ALGOUSDT,0.01,-3.92,-3.37,25.26,10
670,CTSIUSDT,MTLUSDT,0.01,-4.0,-3.37,0.12,10
810,BALUSDT,LOOKSUSDT,0.03,-3.56,-3.37,16.28,10
1148,USDCUSDT,GRTUSDT,0.0,-7.82,-3.37,7.86,9
1156,USDCUSDT,NEARUSDT,0.0,-7.7,-3.37,0.22,9
1134,USDCUSDT,SOLUSDT,0.0,-8.29,-3.37,0.02,9
1193,USDCUSDT,ZECUSDT,0.0,-5.73,-3.37,0.02,9
1224,USDCUSDT,KAVAUSDT,0.0,-8.27,-3.37,0.49,9
1138,USDCUSDT,THETAUSDT,0.0,-7.69,-3.37,0.69,9
1207,USDCUSDT,CTKUSDT,0.0,-8.1,-3.37,0.89,9
991,FLMUSDT,ALICEUSDT,0.0,-4.57,-3.37,0.08,9
1109,OPUSDT,UNIUSDT,0.04,-3.47,-3.37,0.2,9
1211,USDCUSDT,KLAYUSDT,0.0,-8.26,-3.37,3.35,9
1231,USDCUSDT,HNTUSDT,0.0,-8.44,-3.37,0.11,9
1195,USDCUSDT,SFPUSDT,0.0,-5.98,-3.37,2.42,9
1171,USDCUSDT,ALICEUSDT,0.0,-8.52,-3.37,0.35,9
1161,USDCUSDT,FTTUSDT,0.0,-7.69,-3.37,0.03,9
1221,USDCUSDT,WAVESUSDT,0.0,-5.78,-3.37,0.17,9
617,SUNUSDT,LINKUSDT,0.0,-4.35,-3.37,0.0,9
350,GALAUSDT,ANTUSDT,0.0,-4.66,-3.37,0.03,9
523,XMRUSDT,XTZUSDT,0.01,-3.85,-3.37,88.59,9
444,LITUSDT,EOSUSDT,0.02,-3.6,-3.37,0.8,9
871,DARUSDT,CELRUSDT,0.03,-3.53,-3.37,15.97,9
398,COTIUSDT,FILUSDT,0.01,-4.03,-3.37,0.01,9
864,DARUSDT,NEARUSDT,0.02,-3.73,-3.37,0.07,9
856,DARUSDT,GRTUSDT,0.01,-3.95,-3.37,2.68,9
615,SUNUSDT,LTCUSDT,0.01,-4.08,-3.37,0.0,9
853,DARUSDT,CHZUSDT,0.03,-3.58,-3.37,2.45,9
352,GALAUSDT,ARUSDT,0.0,-4.5,-3.37,0.0,9
413,COTIUSDT,GRTUSDT,0.02,-3.73,-3.37,0.88,9
841,DARUSDT,FILUSDT,0.01,-3.87,-3.37,0.04,9
254,GALAUSDT,BTCUSDT,0.0,-5.06,-3.37,0.0,9
827,DARUSDT,BCHUSDT,0.01,-3.77,-3.37,0.0,9
825,DARUSDT,EOSUSDT,0.01,-3.84,-3.37,0.27,9
257,GALAUSDT,XRPUSDT,0.0,-4.62,-3.37,0.16,9
817,MTLUSDT,BCHUSDT,0.01,-4.0,-3.37,0.01,9
258,GALAUSDT,BCHUSDT,0.0,-5.03,-3.37,0.0,9
685,ZRXUSDT,EOSUSDT,0.0,-4.88,-3.37,0.28,9
611,SUNUSDT,ETHUSDT,0.0,-5.05,-3.37,0.0,9
563,XMRUSDT,FTTUSDT,0.02,-3.63,-3.37,5.25,9
179,CRVUSDT,YFIUSDT,0.04,-3.4,-3.37,0.0,9
394,COTIUSDT,DOGEUSDT,0.02,-3.64,-3.37,1.64,9
555,XMRUSDT,FTMUSDT,0.0,-4.21,-3.37,453.45,9
362,GALAUSDT,KAVAUSDT,0.0,-4.63,-3.37,0.03,9
389,COTIUSDT,DOTUSDT,0.02,-3.69,-3.37,0.01,9
540,XMRUSDT,THETAUSDT,0.0,-4.16,-3.37,109.83,9
47,XRPUSDT,KAVAUSDT,0.04,-3.43,-3.37,0.19,9
923,DARUSDT,CELOUSDT,0.01,-3.83,-3.37,0.33,9
915,DARUSDT,KLAYUSDT,0.03,-3.54,-3.37,1.14,9
149,TRXUSDT,BTCUSDT,0.02,-3.61,-3.37,0.0,9
437,STORJUSDT,SOLUSDT,0.02,-3.6,-3.37,0.02,9
535,XMRUSDT,FILUSDT,0.01,-4.08,-3.37,18.56,9
534,XMRUSDT,BNBUSDT,0.0,-4.3,-3.37,0.54,9
579,KNCUSDT,AAVEUSDT,0.03,-3.49,-3.37,0.02,9
591,ROSEUSDT,UNIUSDT,0.0,-4.83,-3.37,0.01,9
894,DARUSDT,QTUMUSDT,0.03,-3.57,-3.37,0.08,9
892,DARUSDT,ANKRUSDT,0.04,-3.43,-3.37,10.75,9
397,COTIUSDT,BNBUSDT,0.01,-3.84,-3.37,0.0,9
530,XMRUSDT,AAVEUSDT,0.02,-3.68,-3.37,1.63,9
421,COTIUSDT,NEARUSDT,0.01,-3.89,-3.37,0.02,8
1046,FLMUSDT,HNTUSDT,0.0,-4.8,-3.37,0.02,8
714,ZRXUSDT,CELUSDT,0.04,-3.43,-3.37,0.29,8
718,BAKEUSDT,THETAUSDT,0.03,-3.53,-3.37,0.24,8
970,FLMUSDT,GRTUSDT,0.0,-4.82,-3.37,1.76,8
1120,USDCUSDT,LTCUSDT,0.0,-5.81,-3.37,0.02,8
650,API3USDT,ENSUSDT,0.03,-3.47,-3.37,0.13,8
646,1000BTTUSDT,BNBUSDT,0.0,-4.3,-3.37,0.0,8
467,SCUSDT,NEARUSDT,0.05,-3.37,-3.37,0.0,8
634,1000BTTUSDT,LTCUSDT,0.0,-4.42,-3.37,0.0,8
630,1000BTTUSDT,ETHUSDT,0.0,-4.17,-3.37,0.0,8
1107,LUNA2USDT,LTCUSDT,0.05,-3.37,-3.37,0.03,8
500,REQUSDT,NEARUSDT,0.02,-3.67,-3.37,0.03,8
1068,GALUSDT,CHZUSDT,0.02,-3.66,-3.37,27.48,8
1091,UNFIUSDT,SANDUSDT,0.0,-4.48,-3.37,6.52,8
1077,UNFIUSDT,XTZUSDT,0.01,-3.82,-3.37,4.78,8
554,XMRUSDT,ICPUSDT,0.01,-3.86,-3.37,19.24,8
627,SUNUSDT,BNBUSDT,0.0,-5.0,-3.37,0.0,8
1160,USDCUSDT,DASHUSDT,0.0,-5.82,-3.37,0.02,8
344,GALAUSDT,MASKUSDT,0.0,-4.36,-3.37,0.03,8
297,GALAUSDT,OMGUSDT,0.0,-4.49,-3.37,0.03,8
998,FLMUSDT,WOOUSDT,0.01,-3.87,-3.37,1.02,8
197,SHIB1000USDT,BCHUSDT,0.0,-4.63,-3.37,0.0,8
1014,FLMUSDT,IMXUSDT,0.0,-4.75,-3.37,0.2,8
898,DARUSDT,ZECUSDT,0.01,-4.06,-3.37,0.01,8
988,FLMUSDT,C98USDT,0.0,-4.54,-3.37,0.42,8
1228,USDCUSDT,LOOKSUSDT,0.0,-5.84,-3.37,2.62,8
291,GALAUSDT,ICPUSDT,0.0,-4.65,-3.37,0.01,8
908,DARUSDT,RSRUSDT,0.03,-3.57,-3.37,49.35,8
201,SHIB1000USDT,DOTUSDT,0.0,-4.88,-3.37,0.0,8
53,XRPUSDT,GLMRUSDT,0.03,-3.58,-3.37,0.5,8
292,GALAUSDT,FTMUSDT,0.0,-4.15,-3.37,0.17,8
304,GALAUSDT,ONEUSDT,0.0,-4.35,-3.37,2.56,8
311,GALAUSDT,RENUSDT,0.0,-4.5,-3.37,0.41,8
941,FLMUSDT,BCHUSDT,0.0,-4.6,-3.37,0.0,8
1029,FLMUSDT,KLAYUSDT,0.0,-4.9,-3.37,0.75,8
331,GALAUSDT,ZECUSDT,0.0,-4.51,-3.37,0.0,8
945,FLMUSDT,ADAUSDT,0.0,-4.82,-3.37,0.43,8
337,GALAUSDT,GTCUSDT,0.0,-4.61,-3.37,0.02,8
27,ETHUSDT,LOOKSUSDT,0.0,-4.24,-3.37,4391.41,8
212,SHIB1000USDT,AXSUSDT,0.0,-4.55,-3.37,0.0,8
40,XRPUSDT,SOLUSDT,0.01,-3.78,-3.37,0.01,7
536,XMRUSDT,SOLUSDT,0.01,-4.07,-3.37,3.87,7
546,XMRUSDT,AVAXUSDT,0.01,-3.8,-3.37,6.58,7
83,XEMUSDT,C98USDT,0.03,-3.5,-3.37,0.1,7
108,AAVEUSDT,C98USDT,0.03,-3.55,-3.37,184.52,7
195,SHIB1000USDT,EOSUSDT,0.0,-4.67,-3.37,0.01,7
224,IOSTUSDT,WOOUSDT,0.01,-4.0,-3.37,0.07,7
219,IOSTUSDT,NEARUSDT,0.04,-3.38,-3.37,0.0,7
1180,USDCUSDT,ENSUSDT,0.0,-7.76,-3.37,0.06,7
385,COTIUSDT,LTCUSDT,0.02,-3.69,-3.37,0.0,7
392,COTIUSDT,SUSHIUSDT,0.02,-3.71,-3.37,0.08,7
316,GALAUSDT,WOOUSDT,0.0,-4.38,-3.37,0.27,7
314,GALAUSDT,ILVUSDT,0.0,-5.12,-3.37,0.0,7
307,GALAUSDT,MKRUSDT,0.0,-4.98,-3.37,0.0,7
426,WOOUSDT,COMPUSDT,0.0,-4.47,-3.37,0.0,7
455,SCUSDT,BTCUSDT,0.01,-3.85,-3.37,0.0,7
220,IOSTUSDT,SRMUSDT,0.04,-3.42,-3.37,0.02,7
461,SCUSDT,FILUSDT,0.03,-3.59,-3.37,0.0,7
280,GALAUSDT,SANDUSDT,0.0,-4.58,-3.37,0.05,7
1190,USDCUSDT,CROUSDT,0.0,-8.03,-3.37,6.95,7
268,GALAUSDT,DOGEUSDT,0.0,-4.68,-3.37,0.87,7
1147,USDCUSDT,ENJUSDT,0.0,-6.0,-3.37,1.54,7
477,CTKUSDT,ICPUSDT,0.01,-3.83,-3.37,0.13,7
558,XMRUSDT,NEARUSDT,0.0,-4.18,-3.37,34.98,7
0,BTCUSDT,CHZUSDT,0.02,-3.66,-3.37,167789.88,7
729,BAKEUSDT,SKLUSDT,0.04,-3.4,-3.37,5.66,7
768,LINAUSDT,RSS3USDT,0.01,-3.81,-3.37,0.08,7
799,BALUSDT,GRTUSDT,0.0,-4.85,-3.37,48.75,7
880,DARUSDT,RUNEUSDT,0.02,-3.65,-3.37,0.13,7
885,DARUSDT,ENSUSDT,0.02,-3.69,-3.37,0.02,7
770,FXSUSDT,EOSUSDT,0.04,-3.42,-3.37,5.81,7
570,PEOPLEUSDT,SOLUSDT,0.02,-3.63,-3.37,0.0,7
299,GALAUSDT,DASHUSDT,0.0,-4.6,-3.37,0.0,6
296,GALAUSDT,SRMUSDT,0.0,-4.53,-3.37,0.06,6
704,ZRXUSDT,PAXGUSDT,0.04,-3.43,-3.37,0.0,6
294,GALAUSDT,DYDXUSDT,0.0,-4.88,-3.37,0.03,6
962,FLMUSDT,AXSUSDT,0.0,-4.64,-3.37,0.01,6
1122,USDCUSDT,LINKUSDT,0.0,-7.47,-3.37,0.13,6
420,COTIUSDT,DYDXUSDT,0.02,-3.7,-3.37,0.05,6
560,XMRUSDT,OMGUSDT,0.01,-3.79,-3.37,70.34,6
335,GALAUSDT,ZENUSDT,0.0,-4.6,-3.37,0.0,6
283,GALAUSDT,AVAXUSDT,0.0,-4.51,-3.37,0.0,6
282,GALAUSDT,KSMUSDT,0.0,-4.66,-3.37,0.0,6
279,GALAUSDT,AXSUSDT,0.0,-5.06,-3.37,0.0,6
274,GALAUSDT,XLMUSDT,0.0,-4.54,-3.37,0.5,6
353,GALAUSDT,REEFUSDT,0.0,-4.4,-3.37,13.95,6
808,BALUSDT,CROUSDT,0.02,-3.72,-3.37,43.06,6
263,GALAUSDT,DOTUSDT,0.0,-4.57,-3.37,0.01,6
1095,UNFIUSDT,CHZUSDT,0.01,-4.01,-3.37,61.8,6
1092,UNFIUSDT,MANAUSDT,0.0,-4.26,-3.37,8.52,6
571,PEOPLEUSDT,XLMUSDT,0.04,-3.45,-3.37,0.3,6
566,PEOPLEUSDT,EOSUSDT,0.04,-3.46,-3.37,0.03,6
524,XMRUSDT,LINKUSDT,0.03,-3.58,-3.37,20.84,6
198,SHIB1000USDT,LTCUSDT,0.0,-4.86,-3.37,0.0,6
565,PEOPLEUSDT,BTCUSDT,0.04,-3.38,-3.37,0.0,6
202,SHIB1000USDT,UNIUSDT,0.01,-3.78,-3.37,0.0,6
210,SHIB1000USDT,XLMUSDT,0.0,-4.48,-3.37,0.1,6
1078,UNFIUSDT,LINKUSDT,0.0,-4.21,-3.37,1.13,6
218,IOSTUSDT,AVAXUSDT,0.02,-3.64,-3.37,0.0,6
106,AAVEUSDT,SUSHIUSDT,0.03,-3.53,-3.37,66.42,6
306,GALAUSDT,AGLDUSDT,0.0,-4.95,-3.37,0.13,5
65,XTZUSDT,C98USDT,0.01,-4.0,-3.37,3.39,5
51,XRPUSDT,JSTUSDT,0.04,-3.44,-3.37,11.8,5
349,GALAUSDT,KLAYUSDT,0.0,-5.15,-3.37,0.2,5
927,DARUSDT,KAVAUSDT,0.03,-3.48,-3.37,0.17,5
886,DARUSDT,IOTXUSDT,0.02,-3.67,-3.37,9.79,5
749,LINAUSDT,BTCUSDT,0.03,-3.47,-3.37,0.0,5
1205,USDCUSDT,STXUSDT,0.0,-7.83,-3.37,2.17,5
1178,USDCUSDT,WOOUSDT,0.0,-5.74,-3.37,4.54,5
842,DARUSDT,SOLUSDT,0.03,-3.48,-3.37,0.01,5
788,BALUSDT,EOSUSDT,0.01,-3.99,-3.37,4.94,5
795,BALUSDT,SOLUSDT,0.04,-3.39,-3.37,0.15,5
1189,USDCUSDT,QTUMUSDT,0.0,-7.51,-3.37,0.24,5
855,DARUSDT,ENJUSDT,0.03,-3.59,-3.37,0.52,5
272,GALAUSDT,FILUSDT,0.0,-4.33,-3.37,0.01,5
269,GALAUSDT,MATICUSDT,0.0,-4.91,-3.37,0.06,5
727,BAKEUSDT,YGGUSDT,0.01,-3.82,-3.37,0.42,5
1012,FLMUSDT,YGGUSDT,0.0,-4.75,-3.37,0.27,5
241,IOSTUSDT,KDAUSDT,0.03,-3.53,-3.37,0.01,5
562,XMRUSDT,DASHUSDT,0.02,-3.61,-3.37,3.13,5
1105,LUNA2USDT,BTCUSDT,0.02,-3.61,-3.37,0.0,5
432,ENSUSDT,BNBUSDT,0.01,-3.8,-3.37,0.05,5
695,ZRXUSDT,CTKUSDT,0.0,-4.43,-3.37,0.32,5
412,COTIUSDT,ENJUSDT,0.02,-3.64,-3.37,0.17,5
1117,USDCUSDT,EOSUSDT,0.0,-8.32,-3.37,0.8,5
462,SCUSDT,SOLUSDT,0.03,-3.52,-3.37,0.0,5
521,XMRUSDT,BCHUSDT,0.02,-3.6,-3.37,1.14,5
1064,GALUSDT,SOLUSDT,0.03,-3.58,-3.37,0.09,5
480,REQUSDT,EOSUSDT,0.02,-3.72,-3.37,0.11,5
